id_referencia,categoria,pais,anio,marca,precio_usd,producto
0,Electrónica,Colombia,2025,Premium,302.74,Auddífonos
1,Electrónica,Colombia,2025,EcoLine,1429.04,Parlwnte
2,Juguetería,Chile,2024,EcoLine,45.3,egos
3,Automotriz,México,2025,MasterTech,276.34,Frneos
4,Belleza,Colombia,2024,MasterTech,192.49,Secadom
5,Juguetería,Chile,2025,Generic,104.51,egos
6,Automotriz,Colombia,2025,EcoLine,230.98,RadiohAuto
7,Juguetería,Colombia,2025,Generic,86.74,egos
8,Automotriz,Argentina,2025,EcoLine,278.66,Radio Autto
9,Automotriz,Chile,2024,Ultra,540.78,Neymático
10,Belleza,Perú,2024,Premium,153.0,Maauillaje
11,Automotriz,Perú,2025,Generic,161.62,Aceite Mohor
12,Deporte,México,2025,MasterTech,327.42,Cuerrda
13,Electrónica,Perú,2025,EcoLine,595.15,Audífoons
14,Deporte,Chile,2024,MasterTech,160.6,Manc8ernas
15,Hogar,Chile,2025,Generic,276.32,eMsa
16,Computación,Chile,2024,EcoLine,1997.49,Teclado Mecánivo
17,Deporte,Chile,2025,EcoLine,325.21,Bic9cleta
18,Automotriz,Perú,2025,Ultra,27.55,Radio duto
19,Juguetería,Argentina,2024,Premium,55.78,Pleuche
20,Juguetería,Colombia,2025,Ultra,19.17,uñeca
21,Electrónica,Colombia,2024,EcoLine,355.34,Audífoonos
22,Automotriz,México,2024,Premium,255.48,Freenos
23,Automotriz,Chile,2025,Generic,416.55,F4enos
24,Automotriz,México,2025,EcoLine,190.88,RRadio Auto
25,Belleza,Chile,2025,Ultra,25.82,Maquillase
26,Hogar,México,2025,Generic,171.26,Lmpara
27,Deporte,Chile,2025,Ultra,324.28,galón
28,Deporte,Chile,2024,EcoLine,40.19,Cuerda
29,Computación,Chile,2025,Ultra,196.54,Teclado Mecásico
30,Juguetería,Colombia,2024,Premium,107.76,Pelucche
31,Electrónica,Argentina,2024,Premium,1477.44,Paalante
32,Juguetería,Chile,2025,Ultra,77.58,LLegos
33,Electrónica,Argentina,2024,Ultra,1363.54,Parante
34,Deporte,Perú,2025,Premium,236.62,Cnerda
35,Hogar,Colombia,2025,Generic,89.26,Lámpwra
36,Deporte,Colombia,2025,Generic,185.16,Manruernas
37,Belleza,Chile,2025,MasterTech,15.1,Creema Facial
38,Computación,Chile,2024,EcoLine,595.7,Teclado Mecánico
39,Belleza,Argentina,2024,MasterTech,185.62,Maquillsje
40,Computación,Argentina,2024,Ultra,913.85,Teclado Mecámico
41,Belleza,Argentina,2024,Premium,123.34,Spcador
42,Electrónica,México,2025,Premium,541.61,Cámra
43,Deporte,México,2025,Generic,45.04,Cuerad
44,Electrónica,Argentina,2025,Premium,317.74,zámara
45,Computación,México,2024,EcoLine,1355.9,Teclado Mecnáico
46,Electrónica,Perú,2025,Ultra,97.04,Televisoor
47,Hogar,Colombia,2024,Premium,132.56,SSilla
48,Automotriz,Perú,2025,EcoLine,580.68,Frenos
49,Belleza,Perú,2024,Ultra,92.83,Maquiillaje
50,Electrónica,Argentina,2025,Ultra,516.84,Aidífonos
51,Computación,Perú,2024,MasterTech,575.46,Muose Pad
52,Automotriz,México,2024,MasterTech,490.75,Frneos
53,Belleza,Colombia,2024,Generic,193.14,Prfume
54,Belleza,Colombia,2025,MasterTech,55.56,Maquillje
55,Computación,Perú,2024,EcoLine,1404.63,MMouse Pad
56,Deporte,Argentina,2024,EcoLine,44.49,Mzncuernas
57,Juguetería,México,2024,MasterTech,109.48,Muñecca
58,Juguetería,Colombia,2025,MasterTech,101.95,Auot control remoto
59,Electrónica,Chile,2025,Premium,1125.85,Parlannte
60,Automotriz,Perú,2025,MasterTech,599.07,Rwdio Auto
61,Hogar,Argentina,2025,Ultra,14.81,wspejo
62,Belleza,Perú,2024,Ultra,33.82,lecador
63,Deporte,Argentina,2025,Generic,280.1,Bicivleta
